protein,HR,HR_lo,HR_hi,z,pval,n_events,fdr
ccl23,1.2329268123801,1.01842145540753,1.49261243134109,2.14714310354745,0.0317818906674107,120,0.338277570447251
hdac9,0.746739617312348,0.571872405170833,0.975077746402568,-2.14536724300729,0.0319234960060241,104,0.338277570447251
mansc1,1.22030505968306,1.01723771044511,1.46390998229556,2.14400549648398,0.0320324463780852,119,0.338277570447251
tlr3,0.832274829493221,0.703656345073655,0.984402964113774,-2.14349918365322,0.0320730365659365,122,0.338277570447251
plekho1,0.654706202204849,0.444323626701653,0.96470271992381,-2.14166109443107,0.0322207635948469,107,0.338608818861369
rspo3,1.22573742444475,1.01701769666478,1.47729212442569,2.13714178181482,0.0325864615084511,122,0.341220105939213
lrrn1,0.822365025830583,0.687199084931977,0.984116903729984,-2.13472513113386,0.0327834689482164,118,0.342052609707018
palm2,0.765277962671317,0.59839575319972,0.978700729439995,-2.13150488920024,0.0330475700862513,107,0.343576701860991
gast,1.21232261689032,1.01515849316185,1.4477799647286,2.12609517226321,0.0334953358365196,107,0.346881975751707
syap1,0.679198730838094,0.475364223867547,0.970436757353904,-2.12479384052547,0.0336038190182004,111,0.346881975751707
il22,1.20269395360251,1.01419869460109,1.4262222518448,2.12206873651436,0.0338319662993051,108,0.348003017304866
gpd1,0.779923390263927,0.619821063670285,0.9813808054196,-2.12028859228571,0.0339817151127804,108,0.348312579905999
fga,1.22970223746868,1.01550542781317,1.48907878916201,2.11753529825399,0.0342144428213151,106,0.348503751653897
klk4,1.20523812879736,1.01396331484161,1.43259516971171,2.11723621560044,0.0342398052123032,122,0.348503751653897
wfikkn1,0.814905590136952,0.674061168942219,0.985179315222322,-2.11419427829893,0.0344986773715562,119,0.349686306134713
mecr,1.47288010854488,1.02840415743619,2.10945842494009,2.11278520376942,0.0346191566647272,104,0.349686306134713
il1r1,1.20457957370132,1.01341515377168,1.43180407750777,2.11110816951567,0.0347630154033728,119,0.349686306134713
igdcc4,0.817887659460365,0.678586430319741,0.985784851580893,-2.11025389887321,0.0348364921948014,110,0.349686306134713
cntnap4,0.754190133646367,0.580045712176112,0.980617123356698,-2.10608684407576,0.0351968093980056,108,0.3520890452151
ldlr,0.806924449732403,0.660443219570941,0.985894090939336,-2.09896196172885,0.0358202540194739,118,0.355723470968466
rrm2b,0.733874518160367,0.54969644839738,0.979762212354287,-2.09863563656745,0.0358490324099463,116,0.355723470968466
wasf1,0.687935492784849,0.484978901958164,0.975826454145336,-2.09715722419896,0.0359796597200783,118,0.355723470968466
dut,1.40848360661992,1.02253758704723,1.94010087770538,2.09637513764621,0.0360489261201297,107,0.355723470968466
vav3,0.518645686012278,0.280552441886201,0.958798810698845,-2.09416884355642,0.0362449421580831,104,0.356149503186372
timm8a,0.667665361340693,0.457382996820066,0.974625287414361,-2.09313850508314,0.036336792320973,107,0.356149503186372
slitrk2,0.823384397691043,0.686186524281742,0.988013961758708,-2.08962685854274,0.0366513319033455,122,0.358026936814224
pcdh7,0.774054858507049,0.608640679191786,0.984424709787707,-2.08793969767429,0.0368032746359204,107,0.358308804231319
nmi,0.747885008286265,0.569075567762273,0.98287822796322,-2.08384467778835,0.0371742978868899,108,0.360714603829121
