protein,carrier_mean,noncarrier_mean,pval,fdr,delta,logFC,sig_label
galnt7,-0.0478361570247934,-0.0460948717948718,0.928567329571539,0.987609182896897,-0.0017412852299216,-0.0017412852299216,""
hpgds,-0.132591666666667,-0.131710775862069,0.937485538705482,0.987890796877099,-0.000880890804597717,-0.000880890804597717,""
ptprf,0.00585627530364372,0.0116294117647059,0.941619650543761,0.987890796877099,-0.00577313646106215,-0.00577313646106215,""
tgfa,0.122298966942149,0.142570588235294,0.945953583860672,0.987890796877099,-0.0202716212931454,-0.0202716212931454,""
chrdl2,-0.131945454545455,-0.15154358974359,0.950307994821993,0.987890796877099,0.0195981351981352,0.0195981351981352,""
ckb,0.133625352112676,0.125924774774775,0.965313586632713,0.994088065449345,0.00770057733790133,0.00770057733790133,""
cd34,-0.0503638775510204,-0.0492665271966527,0.967074802801265,0.994088065449345,-0.00109735035436769,-0.00109735035436769,""
eps8l2,-0.0665524590163934,-0.0662292887029289,0.982052798658204,0.998115766710694,-0.000323170313464571,-0.000323170313464571,""
cx3cl1,0.0634883817427386,0.0779989316239316,0.983463580118544,0.998115766710694,-0.014510549881193,-0.014510549881193,""
il15,0.0821935950413223,0.0879430672268908,0.987660069955712,0.998115766710694,-0.00574947218556847,-0.00574947218556847,""
mansc1,0.0392971074380165,0.0474289915966387,0.99684926256842,0.998115766710694,-0.00813188415862213,-0.00813188415862213,""
sfrp4,-0.0532622009569378,-0.0382198156682028,0.998115766710694,0.998115766710694,-0.015042385288735,-0.015042385288735,""
