protein,years_to_dx,pred_npx,pred_lci,pred_uci,hc_mean,hc_lci,hc_uci
NEFL,-3.75,0.172311017716808,0.0109349837029818,0.333687051730634,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,-3.5,0.171269952351861,0.00756897233772139,0.334970932366001,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,-3.25,0.170257092209162,0.00373301440244966,0.336781170015874,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,-3,0.169274004245502,-0.000393900798962205,0.338941909289966,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,-2.75,0.168322255417672,-0.00464414284179029,0.341288653677135,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,-2.5,0.167403412682464,-0.00886450041260886,0.343671325777538,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,-2.25,0.16651904299667,-0.0129174217989916,0.345955507792332,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,-2,0.165670713317081,-0.016681068563965,0.348022495198127,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,-1.75,0.164859990600489,-0.020048722552289,0.349768703753267,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,-1.5,0.164088441803684,-0.0229279526092371,0.351104836216606,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,-1.25,0.16335763388346,-0.0252398255009651,0.351955093267884,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,-1,0.162669133796606,-0.0269183565251736,0.352256624118386,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,-0.75,0.162024508499915,-0.027910342515552,0.351959359515382,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,-0.5,0.161425324950179,-0.0281756997043927,0.35102634960475,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,-0.25,0.160873150104188,-0.0276884365021235,0.349434736710499,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,0,0.160369550918734,-0.0264384233259113,0.347177525163379,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,0.25,0.159915237734549,-0.0244505337804937,0.344281009249591,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,0.5,0.159507494428123,-0.0218330866364628,0.340848075492709,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,0.75,0.159142748259887,-0.0187225643882828,0.337008060908058,-0.0057761220984011,-0.484760424807479,0.473208180610676
NEFL,1,0.158817426490272,-0.0152648486095108,0.332899701590055,-0.0057761220984011,-0.484760424807479,0.473208180610676
