gene,Endothelial,Pericytes,Smooth muscle,Fibroblasts,Oligodendrocytes,Microglia,Astrocytes,Neurons,T cells,B cells,NK cells,Monocytes,Dendritic cells,Macrophages,Plasma cells,Granulocytes,logFC,direction
CDA,0.0787747406825433,0.0228225132039634,0.0291413261432614,0.0119364000291122,0.025940835442849,0.0482563286347057,0.0167659823166571,0.0112391437824509,0.010566762728146,,,1,,0.320845341018252,0.0172910662824208,0.0451488952929875,-0.131300773436664,Down in MS
CLEC4A,0.130047139489822,0.127734435529621,0.12422067492356,0.103071263589124,0.124571667822742,0.252956548974888,0.153850556480796,0.102366377977854,,0.0795454545454545,0.0454545454545455,0.357954545454545,0.159090909090909,1,,,-0.132277872744351,Down in MS
MSTN,0.711555130496424,0.846010280375745,0.848720904726349,,0.907922590932329,0.525518115526541,1,,,,,,,,,,-0.133671572863376,Down in MS
LPO,0.276197650664776,0.159525397539109,0.180145265366939,,,0.347383735811095,0.214892532297103,,0.337209302325581,0.697674418604651,,,,1,0.465116279069768,,-0.133759375553927,Down in MS
FCRL6,0.0240515882703836,0.0174998156433358,0.0141035746090446,,0.0171963064759461,0.0273455018531896,,,0.23719165085389,,1,0.0123339658444023,,,0.015180265654649,,-0.13463456368775,Down in MS
AMY2A,,,,,,,,,,,,,,,,,-0.13864721043498,Down in MS
CPA2,,,,,1,,,,,,,,,0.712108535045496,,,-0.14581592092882,Down in MS
CHRDL2,,,,,,,,,1,,,,,,,,-0.149490030928944,Down in MS
ITGAM,0.0557902728260483,0.0541909238607453,0.0556650271820773,0.0321676019965117,0.0555998991055654,0.116069286730388,0.0785884826871008,0.0259931574211214,0.110979929161747,0.101534828807556,0.792207792207792,0.269185360094451,0.00472255017709563,1,,0.499409681227863,-0.150433425018681,Down in MS
AMY2B,0.75438347311363,0.66181724288876,0.663623137377524,0.526634561414042,0.741477797282393,1,0.637870189683046,0.630178457094801,0.244467773346928,0.330750516881137,0.129424115301315,0.330750516881137,0.186945944324121,0.934729721620606,0.388272345903944,,-0.151778502734438,Down in MS
CA14,0.447341645381899,0.324823125612392,0.146730374308996,0.440115564830096,1,0.532519883941553,0.505058963599082,0.811358941859033,,,,,,,,,-0.156699425708932,Down in MS
OBP2B,,0.986721381358169,1,,,,,,,,,,,,,,-0.162521914951461,Down in MS
CST5,,,,,,,,,,0.333333333333333,,,,1,,,-0.214536102848226,Down in MS
PPY,,,,,,,,,,1,,,,,,,-0.252168843628487,Down in MS
